2026-06-18 16:00:29 [INFO] [API] SUCCESS | userId=anonymous | method=POST | uri=/user/auth/login | elapsed=163ms
2026-06-18 16:00:29 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/auth/me | elapsed=157ms
2026-06-18 16:00:29 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/auth/me | elapsed=74ms
2026-06-18 16:00:29 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey/weighted-score | elapsed=172ms
2026-06-18 16:00:30 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey | elapsed=271ms
2026-06-18 16:00:30 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/auth/me | elapsed=88ms
2026-06-18 16:00:40 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/auth/me | elapsed=113ms
2026-06-18 16:00:40 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey | elapsed=151ms
2026-06-18 16:01:07 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/auth/me | elapsed=94ms
2026-06-18 16:01:07 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey | elapsed=116ms
2026-06-18 16:07:55 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/auth/me | elapsed=116ms
2026-06-18 16:07:55 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey/weighted-score | elapsed=115ms
2026-06-18 16:07:55 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey | elapsed=132ms
2026-06-18 16:07:55 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey | elapsed=106ms
2026-06-18 16:07:55 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/auth/me | elapsed=123ms
2026-06-18 16:08:02 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/auth/me | elapsed=113ms
2026-06-18 16:08:02 [ERROR] [API] FAIL | userId=106 | method=GET | uri=/api/v1/user/visual/survey/weighted-score | elapsed=118ms | error=SurveyException | message=해당 userYearRound가 없습니다.
2026-06-18 16:08:03 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey | elapsed=125ms
2026-06-18 16:08:04 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey/weighted-score | elapsed=100ms
2026-06-18 16:08:18 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/auth/me | elapsed=151ms
2026-06-18 16:08:18 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey | elapsed=175ms
